UserID,taskid,Original Attempts,Combined_Attempts,ErrorClass,Command_Category
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]","Select employee_ID, license from pilot where license='II' or license='III",2,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]","Select employee_ID, license from pilot where license='I' and not license='III",2,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]",Select * from pilot where license != 'I' or license != 'II,2,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]",Select * from pilot where license='I' and license='II,2,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]","Select employee_ID, license from pilot where not (license='I' or license='II')",2,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]",Select * from pilot where license='I' or flight_hours < 1000,2,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]","Select employee_ID, license from pilot where not license='I' and not license='II'Select employee_ID, license from pilot where not license='I' and not license='II",0,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]","Select employee_ID, license from pilot where not (license='I' and license='II')",0,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]","Select employee_ID, license from pilot where not license='I' not license='II",0,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]","Select employee_ID, license from pilot where not (license='I') and not (license='II')",0,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]",Select * from pilot where not license='I' and not license='II,0,DQL
1101,478,"['select avg(salary), jobfrom Employeewhere ', 'select Distinct jobfrom Employeeorder by job', 'select Distinct jobfrom Employeeorder by jobgroup by job', 'select AVG(salary), [distinct] jobfrom Employee', 'select AVG(salary), distinct jobfrom Employee']","select job, avg(salary) as average_salary from employee order by avg(salary)",2,DQL
1101,478,"['select avg(salary), jobfrom Employeewhere ', 'select Distinct jobfrom Employeeorder by job', 'select Distinct jobfrom Employeeorder by jobgroup by job', 'select AVG(salary), [distinct] jobfrom Employee', 'select AVG(salary), distinct jobfrom Employee']","select job, avg(salary) as average_salary from employee group by job order by salary",2,DQL
1101,478,"['select avg(salary), jobfrom Employeewhere ', 'select Distinct jobfrom Employeeorder by job', 'select Distinct jobfrom Employeeorder by jobgroup by job', 'select AVG(salary), [distinct] jobfrom Employee', 'select AVG(salary), distinct jobfrom Employee']","select job, sum(salary) as total_salary from employee group by job",2,DQL
1101,478,"['select avg(salary), jobfrom Employeewhere ', 'select Distinct jobfrom Employeeorder by job', 'select Distinct jobfrom Employeeorder by jobgroup by job', 'select AVG(salary), [distinct] jobfrom Employee', 'select AVG(salary), distinct jobfrom Employee']","select distinct job, avg(salary) as average_salary from employee group by job",2,DQL
1101,478,"['select avg(salary), jobfrom Employeewhere ', 'select Distinct jobfrom Employeeorder by job', 'select Distinct jobfrom Employeeorder by jobgroup by job', 'select AVG(salary), [distinct] jobfrom Employee', 'select AVG(salary), distinct jobfrom Employee']","select job, avg(salary) as average_salary from employee group by department",2,DQL
1101,478,"['select avg(salary), jobfrom Employeewhere ', 'select Distinct jobfrom Employeeorder by job', 'select Distinct jobfrom Employeeorder by jobgroup by job', 'select AVG(salary), [distinct] jobfrom Employee', 'select AVG(salary), distinct jobfrom Employee']",select job avg(salary) as average_salary from employee group by job,0,DQL
