UserID,taskid,Original Attempts,Combined_Attempts,ErrorClass,Command_Category
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]","SELECT P.employee_ID, P.license, P.flight_hours FROM Pilot P WHERE P.license <> 'I",2,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]","-- Missing second condition for license 'II''SELECT employee_ID, license, flight_hours FROM Pilot WHERE license IN ('I', 'II')",2,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]","-- Incorrect logic, should exclude rather than include'SELECT * FROM Pilot WHERE license IS NOT NULL AND license > 'I",2,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]","-- Incorrect comparison for strings and logic'SELECT employee_ID, license, flight_hours FROM Pilot WHERE license='III' OR license='IV",2,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]","-- Incorrect logic if there are more license types'SELECT P.employee_ID, P.license, P.flight_hours FROM Pilot P WHERE P.license LIKE '%I%",2,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]","-- Wildcard includes undesired licenses'SELECT DISTINCT employee_ID, license, flight_hours FROM Pilot WHERE license != 'I' OR license != 'II",2,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]",-- Logic permits entries with license I or II,2,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]",SELECT * from Pilot WHERE NOT license=I AND NOT license==II,0,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]","-- Missing quotes around 'I' and 'II', extra equals sign'SELEC employee_ID, license, flight_hours FROM Pilot WHERE NOT license='I' AND NOT license='II",0,DQL
1101,467,"[""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and Pilot.license='II'"", ""Select Pilot.employee_ID, Pilot.license, Pilot.flight_hoursfrom Pilotwhere not Pilot.license='I' and not Pilot.license='II'"", ""Select P.employee_ID, P.license, P.flight_hoursfrom Pilot as Pwhere not P.license='I' and not P.license='II'""]",-- Misspelled SELECT and extra semicolon'SELECT * FORM Pilot WHERE NOT license='I' AND NOT license='II,0,DQL
